n_clusters,inertia,silhouette_score,svd_components,svd_explained_variance_ratio
2,40400.76953125,0.034386046230793,100,0.2005879133939743
3,39292.90625,0.036187686026096344,100,0.2005879133939743
4,38444.0,0.0435158796608448,100,0.2005879133939743
5,37671.46875,0.049804773181676865,100,0.2005879133939743
6,36964.99609375,0.0516500249505043,100,0.2005879133939743
7,36399.2109375,0.05299990251660347,100,0.2005879133939743
8,35889.7890625,0.056753288954496384,100,0.2005879133939743
9,35400.60546875,0.06026943400502205,100,0.2005879133939743
10,34953.609375,0.06171855330467224,100,0.2005879133939743
