,precision,recall,f1-score,support
negative,0.572538860103627,0.7491525423728813,0.6490455212922174,295.0
neutral,0.27929373996789725,0.525679758308157,0.36477987421383645,331.0
positive,0.9794050343249427,0.9253387143268954,0.9516045356851701,6938.0
accuracy,0.9009783183500794,0.9009783183500794,0.9009783183500794,0.9009783183500794
macro avg,0.6104125447988223,0.7333903383359779,0.6551433103970746,7564.0
weighted avg,0.9329002273673185,0.9009783183500794,0.9141251765903879,7564.0
